rank,name,year,rating,info_link
63,Ugly,2013,            8.0    ,/title/tt2882328/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_63
64,The Legend of Bhagat Singh,2002,            8.0    ,/title/tt0319736/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_64
65,Deewaar,1975,            8.0    ,/title/tt0072860/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_65
66,Mother India,1957,            8.0    ,/title/tt0050188/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_66
67,Haider,2014,            8.0    ,/title/tt3390572/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_67
68,Gulaal,2009,            8.0    ,/title/tt1261047/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_68
69,Dev.D,2009,            8.0    ,/title/tt1327035/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_69
70,Masaan,2015,            8.0    ,/title/tt4635372/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_70
71,Bombay,1995,            8.0    ,/title/tt0112553/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_71
72,Athadu,2005,            8.0    ,/title/tt0471571/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_72
73,Lucia,2013,            8.0    ,/title/tt2358592/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_73
74,Special Chabbis,2013,            8.0    ,/title/tt2377938/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_74
75,Company,2002,            8.0    ,/title/tt0296574/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_75
76,Indian,1996,            8.0    ,/title/tt0116630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_76
77,Vaastav: The Reality,1999,            7.9    ,/title/tt0220832/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_77
78,Jab We Met,2007,            7.9    ,/title/tt1093370/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_78
79,Manjhi: The Mountain Man,2015,            7.9    ,/title/tt3449292/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_79
80,Ankhon Dekhi,2013,            7.9    ,/title/tt3614516/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_80
81,Airlift,2016,            7.9    ,/title/tt4387040/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_81
82,Bajrangi Bhaijaan,2015,            7.9    ,/title/tt3863552/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_82
83,Kal Ho Naa Ho,2003,            7.9    ,/title/tt0347304/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_83
84,Bahubali: The Beginning,2015,            7.9    ,/title/tt2631186/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_84
85,Hey Ram,2000,            7.9    ,/title/tt0222012/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_85
86,Baby,2015,            7.9    ,/title/tt3848892/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_86
87,Ab Tak Chhappan,2004,            7.8    ,/title/tt0402014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_87
